381 7
INST TIME1 TIME2 PARTIDA REND1 REND2 RESULT
112 Cruzeiro/MG Figueirense/SC semi-final Otimo Bom false
113 Cruzeiro/MG Gremio/RS semi-final Otimo Bom true
114 Cruzeiro/MG Santos/SP semi-final Otimo Bom false
115 Figueirense/SC Fluminense/RJ final Bom Otimo false
116 Figueirense/SC Nautico/PE final Bom Bom true
117 Figueirense/SC Santos/SP final Bom Bom true
118 Figueirense/SC Vasco/RJ final Bom Bom false
119 Figueirense/SC Atletico/PR inicio Ruim Fantastico false
120 Figueirense/SC Flamengo/RJ inicio Otimo Otimo true
121 Figueirense/SC Goias/GO inicio Bom Ruim true
122 Figueirense/SC America/RN meio Bom Regular true
123 Figueirense/SC Botafogo/RJ meio Bom Fantastico false
124 Figueirense/SC Gremio/RS meio Bom Otimo true
125 Figueirense/SC Palmeiras/SP meio Bom Fantastico false
126 Figueirense/SC Corinthians/SP semi Bom Bom false
127 Figueirense/SC Cruzeiro/MG semi Otimo Otimo true
128 Figueirense/SC SaoPaulo/SP semi Bom Otimo false
129 Figueirense/SC Sport/PE semi Bom Ruim false
130 Figueirense/SC Atletico/MG semi-final Bom Bom true
131 Figueirense/SC Internacional/RS semi-final Bom Bom false
132 Figueirense/SC Juventude/RS semi-final Bom Ruim true
133 Figueirense/SC Parana/PR semi-final Bom Bom true
134 Flamengo/RJ Atletico/PR final Otimo Bom true
135 Flamengo/RJ Corinthians/SP final Bom Bom true
136 Flamengo/RJ Gremio/RS final Bom Bom true
137 Flamengo/RJ Santos/SP final Otimo Bom true
138 Flamengo/RJ Botafogo/RJ inicio Ruim Fantastico false
139 Flamengo/RJ Internacional/RS inicio Ruim Regular false
140 Flamengo/RJ Palmeiras/SP inicio Ruim Fantastico false
141 Flamengo/RJ Figueirense/SC meio Bom Otimo true
142 Flamengo/RJ Goias/GO meio Bom Regular true
143 Flamengo/RJ Juventude/RS meio Bom Ruim true
144 Flamengo/RJ Sport/PE meio Bom Regular false
145 Flamengo/RJ America/RN semi Regular Otimo true
146 Flamengo/RJ Nautico/PE semi Regular Bom true
147 Flamengo/RJ Parana/PR semi Ruim Fantastico false
148 Flamengo/RJ Atletico/MG semi-final Bom Bom true
149 Flamengo/RJ Cruzeiro/MG semi-final Bom Otimo true
150 Flamengo/RJ Fluminense/RJ semi-final Bom Otimo false
151 Flamengo/RJ SaoPaulo/SP semi-final Bom Fantastico true
152 Flamengo/RJ Vasco/RJ semi-final Bom Bom false
153 Fluminense/RJ Atletico/MG final Regular Bom false
154 Fluminense/RJ Juventude/RS final Bom Regular true
155 Fluminense/RJ Nautico/PE final Regular Bom true
156 Fluminense/RJ SaoPaulo/SP final Regular Fantastico false
157 Fluminense/RJ Cruzeiro/MG inicio Ruim Fantastico false
158 Fluminense/RJ Internacional/RS inicio Bom Ruim true
159 Fluminense/RJ Sport/PE inicio Otimo Ruim true
160 Fluminense/RJ Flamengo/RJ meio Regular Otimo false
161 Fluminense/RJ Gremio/RS meio Regular Bom false
162 Fluminense/RJ Palmeiras/SP meio Regular Fantastico false
163 Fluminense/RJ Santos/SP meio Bom Bom true
164 Fluminense/RJ Vasco/RJ meio Regular Bom false
165 Fluminense/RJ Botafogo/RJ semi Bom Fantastico false
166 Fluminense/RJ Figueirense/SC semi Bom Bom false
167 Fluminense/RJ Goias/GO semi Bom Bom true
168 Fluminense/RJ Parana/PR semi Bom Fantastico false
169 Fluminense/RJ America/RN semi-final Bom Regular true
170 Fluminense/RJ Atletico/PR semi-final Regular Bom true
171 Fluminense/RJ Corinthians/SP semi-final Bom Bom false
172 Goias/GO Corinthians/SP final Bom Bom false
173 Goias/GO Fluminense/RJ final Bom Otimo true
174 Goias/GO Internacional/RS final Bom Bom true
175 Goias/GO Vasco/RJ final Bom Bom false
176 Goias/GO Flamengo/RJ inicio Ruim Fantastico false
177 Goias/GO Juventude/RS inicio Bom Ruim true
178 Goias/GO Palmeiras/SP inicio Otimo Otimo true
179 Goias/GO Atletico/MG meio Otimo Bom true
180 Goias/GO Parana/PR meio Otimo Otimo true
181 Goias/GO SaoPaulo/SP meio Otimo Fantastico false
182 Goias/GO Botafogo/RJ semi Bom Fantastico false
183 Goias/GO Gremio/RS semi Bom Otimo false
184 Goias/GO Santos/SP semi Bom Bom true
185 Goias/GO Sport/PE semi Otimo Ruim true
186 Goias/GO America/RN semi-final Bom Regular false
187 Goias/GO Atletico/PR semi-final Bom Bom false
188 Goias/GO Cruzeiro/MG semi-final Bom Otimo false
189 Goias/GO Figueirense/SC semi-final Otimo Bom true
190 Goias/GO Nautico/PE semi-final Bom Bom false
191 Gremio/RS Corinthians/SP final Otimo Bom false
192 Gremio/RS Figueirense/SC final Otimo Bom false
193 Gremio/RS Goias/GO final Otimo Regular true
194 Gremio/RS Nautico/PE final Otimo Bom true
195 Gremio/RS Cruzeiro/MG inicio Otimo Fantastico false
196 Gremio/RS Fluminense/RJ inicio Fantastico Ruim true
197 Gremio/RS Sport/PE inicio Fantastico Ruim true
198 Gremio/RS America/RN meio Bom Regular true
199 Gremio/RS Parana/PR meio Otimo Otimo true
200 Gremio/RS SaoPaulo/SP meio Bom Fantastico false
201 Gremio/RS Atletico/PR semi Bom Otimo false
202 Gremio/RS Flamengo/RJ semi Fantastico Fantastico true
203 Gremio/RS Juventude/RS semi Otimo Regular true
204 Gremio/RS Palmeiras/SP semi Otimo Fantastico false
205 Gremio/RS Atletico/MG semi-final Otimo Bom false
206 Gremio/RS Botafogo/RJ semi-final Otimo Fantastico true
207 Gremio/RS Internacional/RS semi-final Otimo Bom true
208 Gremio/RS Santos/SP semi-final Otimo Regular true
209 Gremio/RS Vasco/RJ semi-final Otimo Bom true
210 Internacional/RS Cruzeiro/MG final Otimo Otimo true
211 Internacional/RS Juventude/RS final Otimo Ruim true
212 Internacional/RS Palmeiras/SP final Otimo Otimo true
213 Internacional/RS Sport/PE final Bom Regular false
214 Internacional/RS Botafogo/RJ inicio Ruim Fantastico false
215 Internacional/RS Gremio/RS inicio Bom Regular false
