inst time_1 time_2 tempo_partida rendimento 
116 Flamengo/RJ Botafogo/RJ semi Fantastico 
117 Flamengo/RJ Atletico/MG semi-final Fantastico 
118 Flamengo/RJ Cruzeiro/MG meio Fantastico 
119 Flamengo/RJ Atletico/PR meio Fantastico 
120 Flamengo/RJ Ipatinga/MG semi-final Fantastico 
121 Flamengo/RJ Internacional/RS inicio Fantastico 
122 Flamengo/RJ Sao-Paulo/SP inicio Fantastico 
123 Flamengo/RJ Gremio/RS meio Fantastico 
124 Flamengo/RJ Fluminense/RJ semi-final Fantastico 
125 Flamengo/RJ Sport/PE semi-final Fantastico 
126 Flamengo/RJ Portuguesa/SP final Fantastico 
127 Flamengo/RJ Santos/SP inicio Fantastico 
128 Flamengo/RJ Nautico/PE semi Fantastico 
129 Flamengo/RJ Vasco/RJ semi Fantastico 
130 Flamengo/RJ Goias/GO final Fantastico 
131 Flamengo/RJ Figueirense/SC inicio Fantastico 
132 Flamengo/RJ Coritiba/PR final Fantastico 
133 Flamengo/RJ Palmeiras/SP final Fantastico 
134 Fluminense/RJ Nautico/PE inicio Fantastico 
135 Fluminense/RJ Flamengo/RJ inicio Fantastico 
136 Fluminense/RJ Botafogo/RJ semi Fantastico 
137 Fluminense/RJ Gremio/RS semi-final Fantastico 
138 Fluminense/RJ Vasco/RJ final Fantastico 
139 Fluminense/RJ Santos/SP inicio Fantastico 
140 Fluminense/RJ Figueirense/SC semi Fantastico 
141 Fluminense/RJ Cruzeiro/MG semi Fantastico 
142 Fluminense/RJ Internacional/RS meio Fantastico 
143 Fluminense/RJ Atletico/MG meio Fantastico 
144 Fluminense/RJ Sport/PE meio Fantastico 
145 Fluminense/RJ Goias/GO semi-final Fantastico 
146 Fluminense/RJ Ipatinga/MG final Fantastico 
147 Fluminense/RJ Vitoria/BA semi Fantastico 
148 Fluminense/RJ Coritiba/PR semi-final Fantastico 
149 Fluminense/RJ Atletico/PR semi Fantastico 
150 Fluminense/RJ Sao-Paulo/SP meio Fantastico 
151 Fluminense/RJ Palmeiras/SP final Fantastico 
152 Fluminense/RJ Portuguesa/SP final Fantastico 
153 Goias/GO Gremio/RS inicio Fantastico 
154 Goias/GO Sao-Paulo/SP final Fantastico 
155 Goias/GO Atletico/MG inicio Fantastico 
156 Goias/GO Ipatinga/MG inicio Fantastico 
157 Goias/GO Fluminense/RJ semi Fantastico 
158 Goias/GO Sport/PE semi Fantastico 
159 Goias/GO Internacional/RS semi-final Fantastico 
160 Goias/GO Coritiba/PR semi Fantastico 
161 Goias/GO Flamengo/RJ meio Fantastico 
162 Goias/GO Figueirense/SC semi-final Fantastico 
163 Goias/GO Vasco/RJ final Fantastico 
164 Goias/GO Palmeiras/SP semi Fantastico 
165 Goias/GO Nautico/PE meio Fantastico 
166 Goias/GO Vitoria/BA semi-final Fantastico 
167 Goias/GO Cruzeiro/MG final Fantastico 
168 Goias/GO Botafogo/RJ final Fantastico 
169 Goias/GO Portuguesa/SP meio Fantastico 
170 Goias/GO Atletico/PR semi-final Fantastico 
171 Goias/GO Santos/SP semi-final Fantastico 
172 Gremio/RS Flamengo/RJ inicio Fantastico 
173 Gremio/RS Internacional/RS semi Fantastico 
174 Gremio/RS Cruzeiro/MG semi Fantastico 
175 Gremio/RS Palmeiras/SP semi Fantastico 
176 Gremio/RS Ipatinga/MG meio Fantastico 
177 Gremio/RS Sao-Paulo/SP meio Fantastico 
178 Gremio/RS Goias/GO semi-final Fantastico 
179 Gremio/RS Sport/PE final Fantastico 
180 Gremio/RS Figueirense/SC final Fantastico 
181 Gremio/RS Nautico/PE inicio Fantastico 
182 Gremio/RS Fluminense/RJ inicio Fantastico 
183 Gremio/RS Portuguesa/SP semi Fantastico 
184 Gremio/RS Vitoria/BA meio Fantastico 
185 Gremio/RS Vasco/RJ semi-final Fantastico 
186 Gremio/RS Botafogo/RJ semi-final Fantastico 
187 Gremio/RS Santos/SP semi-final Fantastico 
188 Gremio/RS Coritiba/PR final Fantastico 
189 Gremio/RS Atletico/MG final Fantastico 
190 Gremio/RS Atletico/PR inicio Fantastico 
191 Internacional/RS Santos/SP meio Fantastico 
192 Internacional/RS Fluminense/RJ final Fantastico 
193 Internacional/RS Vasco/RJ inicio Fantastico 
194 Internacional/RS Sport/PE inicio Fantastico 
195 Internacional/RS Goias/GO semi Fantastico 
196 Internacional/RS Atletico/MG semi Fantastico 
197 Internacional/RS Figueirense/SC meio Fantastico 
198 Internacional/RS Flamengo/RJ meio Fantastico 
199 Internacional/RS Portuguesa/SP semi-final Fantastico 
200 Internacional/RS Vitoria/BA semi-final Fantastico 
201 Internacional/RS Nautico/PE final Fantastico 
202 Internacional/RS Cruzeiro/MG final Fantastico 
203 Internacional/RS Botafogo/RJ inicio Fantastico 
204 Internacional/RS Sao-Paulo/SP semi Fantastico 
205 Internacional/RS Atletico/PR semi-final Fantastico 
206 Internacional/RS Coritiba/PR semi Fantastico 
207 Internacional/RS Palmeiras/SP meio Otimo 
208 Internacional/RS Gremio/RS semi-final Fantastico 
209 Internacional/RS Ipatinga/MG final Fantastico 
210 Ipatinga/MG Atletico/PR inicio Fantastico 
