381 6
inst time_1 time_2 tempo_partida rendimento resultado
128 Figueirense/SC Internacional/RS semi-final Bom false
129 Figueirense/SC Parana/PR semi-final Bom true
130 Figueirense/SC Santos/SP final Bom true
131 Figueirense/SC Fluminense/RJ final Bom false
132 Figueirense/SC Vasco/RJ final Bom false
133 Figueirense/SC Nautico/PE final Bom true
134 Flamengo/RJ Palmeiras/SP inicio Ruim false
135 Flamengo/RJ Botafogo/RJ inicio Ruim false
136 Flamengo/RJ Internacional/RS inicio Ruim false
137 Flamengo/RJ Parana/PR semi Ruim false
138 Flamengo/RJ America/RN semi Regular true
139 Flamengo/RJ Nautico/PE semi Regular true
140 Flamengo/RJ Juventude/RS meio Bom true
141 Flamengo/RJ Goias/GO meio Bom true
142 Flamengo/RJ Sport/PE meio Bom false
143 Flamengo/RJ Figueirense/SC meio Bom true
144 Flamengo/RJ Cruzeiro/MG semi-final Bom true
145 Flamengo/RJ Vasco/RJ semi-final Bom false
146 Flamengo/RJ Atletico/MG semi-final Bom true
147 Flamengo/RJ SaoPaulo/SP semi-final Bom true
148 Flamengo/RJ Fluminense/RJ semi-final Bom false
149 Flamengo/RJ Gremio/RS final Bom true
150 Flamengo/RJ Corinthians/SP final Bom true
151 Flamengo/RJ Santos/SP final Otimo true
152 Flamengo/RJ Atletico/PR final Otimo true
153 Fluminense/RJ Cruzeiro/MG inicio Ruim false
154 Fluminense/RJ Internacional/RS inicio Bom true
155 Fluminense/RJ Sport/PE inicio Otimo true
156 Fluminense/RJ Botafogo/RJ semi Bom false
157 Fluminense/RJ Parana/PR semi Bom false
158 Fluminense/RJ Goias/GO semi Bom true
159 Fluminense/RJ Figueirense/SC semi Bom false
160 Fluminense/RJ Palmeiras/SP meio Regular false
161 Fluminense/RJ Flamengo/RJ meio Regular false
162 Fluminense/RJ Santos/SP meio Bom true
163 Fluminense/RJ Gremio/RS meio Regular false
164 Fluminense/RJ Vasco/RJ meio Regular false
165 Fluminense/RJ Atletico/PR semi-final Regular true
166 Fluminense/RJ America/RN semi-final Bom true
167 Fluminense/RJ Corinthians/SP semi-final Bom false
168 Fluminense/RJ SaoPaulo/SP final Regular false
169 Fluminense/RJ Atletico/MG final Regular false
170 Fluminense/RJ Nautico/PE final Regular true
171 Fluminense/RJ Juventude/RS final Bom true
172 Goias/GO Flamengo/RJ inicio Ruim false
173 Goias/GO Juventude/RS inicio Bom true
174 Goias/GO Palmeiras/SP inicio Otimo true
175 Goias/GO Botafogo/RJ semi Bom false
176 Goias/GO Sport/PE semi Otimo true
177 Goias/GO Gremio/RS semi Bom false
178 Goias/GO Santos/SP semi Bom true
179 Goias/GO Parana/PR meio Otimo true
180 Goias/GO Atletico/MG meio Otimo true
181 Goias/GO SaoPaulo/SP meio Otimo false
182 Goias/GO Figueirense/SC semi-final Otimo true
183 Goias/GO Atletico/PR semi-final Bom false
184 Goias/GO Nautico/PE semi-final Bom false
185 Goias/GO America/RN semi-final Bom false
186 Goias/GO Cruzeiro/MG semi-final Bom false
187 Goias/GO Fluminense/RJ final Bom true
188 Goias/GO Vasco/RJ final Bom false
189 Goias/GO Corinthians/SP final Bom false
190 Goias/GO Internacional/RS final Bom true
191 Gremio/RS Fluminense/RJ inicio Fantastico true
192 Gremio/RS Sport/PE inicio Fantastico true
193 Gremio/RS Cruzeiro/MG inicio Otimo false
194 Gremio/RS Juventude/RS semi Otimo true
